S.No,Time,Name,Shelves,Author,Avg Rating,No of Ratings,Score,Voters,,
85,Thu 26-08-2021 10:35:27 AM,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",J.K. Rowling,4.57,3146821,312219,3463,,
86,Thu 26-08-2021 10:35:27 AM,A Clockwork Orange,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Anthony Burgess,3.99,642756,311129,3506,,
87,Thu 26-08-2021 10:35:27 AM,The Road,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Cormac McCarthy,3.97,769159,307002,3370,,
88,Thu 26-08-2021 10:35:27 AM,"Angela's Ashes (Frank McCourt, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Frank McCourt,4.12,572201,295182,3296,,
89,Thu 26-08-2021 10:35:27 AM,"Vampire Academy (Vampire Academy, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Richelle Mead (Goodreads Author),4.11,594217,286620,3082,,
90,Thu 26-08-2021 10:35:27 AM,Siddhartha,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Hermann Hesse,4.04,634631,283582,3165,,
91,Thu 26-08-2021 10:35:27 AM,The Poisonwood Bible,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Barbara Kingsolver,4.07,683823,275617,3026,,
92,Thu 26-08-2021 10:35:27 AM,"The Golden Compass (His Dark Materials, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Philip Pullman,NA,NA,273417,3058,,
93,Thu 26-08-2021 10:35:27 AM,Don Quixote,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Miguel de Cervantes Saavedra,3.88,228546,263038,2997,,
94,Thu 26-08-2021 10:35:27 AM,Atlas Shrugged,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Ayn Rand,3.69,367141,252700,2776,,
95,Thu 26-08-2021 10:35:27 AM,The Old Man and the Sea,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Ernest Hemingway,3.79,912784,246532,2851,,
96,Thu 26-08-2021 10:35:27 AM,"The Notebook (The Notebook, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Nicholas Sparks (Goodreads Author),4.12,1423289,236148,2666,,
97,Thu 26-08-2021 10:35:27 AM,"Winnie-the-Pooh (Winnie-the-Pooh, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",A.A. Milne,4.31,295270,231219,2718,,
